race_name,distance_km,elevation_gain,elevation_loss,race_date,race_url,source_file,bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1056,Henrik SMEDS,SE,47,H,45-49M,Gudö SK,https://utmb.world/runner/1472161.henrik.smeds,595.0,23.0,17.0,4.0,11:19:47,40787.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,116,Patrik JOHANSSON,SE,50,H,50-54M,Näset Triathlonklubb,https://utmb.world/runner/3816061.patrik.johansson,562.0,24.0,19.0,1.0,21:28:34,77314.0,True,f,591.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1060,Michael TESCHE,DE,45,H,45-49M,,https://utmb.world/runner/4001764.michael.tesche,600.0,24.0,18.0,5.0,11:28:01,41281.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,45,Robin STENBERG,SE,42,H,40-44M,Salomon Sverige,https://utmb.world/runner/696571.robin.stenberg,627.0,25.0,20.0,6.0,21:30:23,77423.0,True,f,590.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1084,Robert STIG-JACOBSSON,SE,43,H,40-44M,,https://utmb.world/runner/5479002.robert.stigjacobsson,560.0,25.0,19.0,5.0,11:30:48,41448.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,140,Per JOHANSSON,SE,42,H,40-44M,Kristianstads Triathlonklubb,https://utmb.world/runner/5147385.per.johansson,574.0,26.0,21.0,7.0,21:45:38,78338.0,True,f,584.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1083,Rasmus KASPERSSON,SE,47,H,45-49M,,https://utmb.world/runner/5479070.rasmus.kaspersson,565.0,26.0,20.0,6.0,11:34:23,41663.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,93,Jörgen SCHÖLD,SE,49,H,45-49M,Ljungby Donkey Athletes ,https://utmb.world/runner/4547962.jorgen.schold,577.0,27.0,22.0,4.0,21:49:10,78550.0,True,f,582.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1076,Daniel ROBB,GB,41,H,40-44M,Run Free Fell Runners,https://utmb.world/runner/3807183.daniel.robb,577.0,27.0,21.0,6.0,11:36:19,41779.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,150,Linda LINDBERG,SE,51,F,50-54W,Team Nordic Trail SC,https://utmb.world/runner/4173037.linda.lindberg,542.0,28.0,6.0,1.0,21:49:57,78597.0,True,f,582.0
